# MAGPI master source catalogue
#
# Generated 2024-08-23-16:45:12
# MAGPIID  -  unique MAGPI identifier
# segID    -  Segmentation ID, which can be matched against values in segim
# xmax     -  x position of maximum flux
# ymax     -  y position of maximum flux
# RAmax    -  Right Ascension of max flux
# Decmax   -  Declination of max flux
# z        -  Redshift. Only robust for QOP=3,4
# QOP      -  Redshift quality [4=great, 3=good, 2=possible, 1=unknown, 0=error]
# mag_rt   -  total r-band magnitude
# mag_it   -  total i-band magnitude
# R50_it   -  Approximate elliptical semi-major axis containing 50% of the flux (arcsec)
# R90_it   -  Approximate elliptical semi-major axis containing 90% of the flux (arcsec)
# axrat_it -  Axial ratio as given by min/maj
# ang_it   -  Orientation of the semi-major axis (cc from Y axis)
MAGPIID,segID,xmax,ymax,RAmax,Decmax,z,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it
1202205258,34,205.50,258.50,175.338316,-1.578905,2.9547,1,24.606,24.605,0.558,0.991,0.645,94.35
1202209276,4,209.50,276.50,175.338093,-1.577905,0.5597,4,22.457,21.449,0.620,1.406,0.751,77.59
1202211147,24,211.50,147.50,175.337982,-1.585072,0.5613,4,23.635,23.270,0.543,0.961,0.836,131.53
1202217204,5,217.50,204.50,175.337649,-1.581905,0.5508,4,21.694,21.145,0.724,1.308,0.957,173.32
1202221243,6,221.50,243.50,175.337427,-1.579738,0.2921,4,22.258,21.843,0.639,1.413,0.768,163.66
1202222143,16,222.50,143.50,175.337371,-1.585294,0.5264,4,22.487,22.327,0.704,1.370,0.933,49.77
1202234316,121,234.50,316.50,175.336704,-1.575683,0.6310,1,26.528,26.418,0.440,0.687,0.619,90.80
1202243261,65,243.50,261.50,175.336204,-1.578738,0.9883,2,26.261,25.938,0.392,0.669,0.872,156.73
1202247137,54,247.50,137.50,175.335982,-1.585627,0.7099,1,25.537,25.905,0.371,0.551,0.799,5.16
1202249179,22,249.50,179.50,175.335870,-1.583294,0.4390,4,23.808,23.618,0.449,0.853,0.925,132.84
1202252108,90,252.50,108.50,175.335704,-1.587238,0.2915,1,25.984,25.837,0.440,0.684,0.975,119.75
1202253144,41,253.50,144.50,175.335648,-1.585238,0.5591,3,24.880,24.703,0.452,0.753,0.867,12.41
1202260065,27,260.50,65.50,175.335259,-1.589627,0.7383,4,22.918,22.340,1.049,1.826,0.528,165.96
1202261092,159,261.50,92.50,175.335203,-1.588127,0.9239,2,26.874,26.267,0.359,0.516,0.848,34.91
1202266102,17,266.50,102.50,175.334926,-1.587572,0.5532,4,22.205,21.845,0.857,1.604,0.846,48.13
1202276195,52,276.50,195.50,175.334370,-1.582405,0.7152,1,25.462,25.181,0.517,0.893,0.798,53.05
1202276302,53,276.50,302.50,175.334370,-1.576461,0.3764,3,25.290,25.099,0.539,0.909,0.738,170.23
1202290134,26,290.50,134.50,175.333592,-1.585794,0.4927,4,22.910,22.461,0.991,1.671,0.447,5.11
